target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
1500,Apartment,Installed,Renovated,,No,Yes,Unknown,2.0,110,18,2
870,Apartment,Not installed,Good,1030,No,Yes,No,1.0,115,10,1
1760,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,124,20,2
1625,Apartment,Semi equipped,Renovated,1180,No,Yes,No,1.0,97,15,2
950,Apartment,Hyper equipped,Good,1000,No,Yes,Unknown,1.0,55,10,1
1150,Apartment,Not installed,Good,,No,No,Unknown,1.0,80,16,2
1050,Apartment,Hyper equipped,Good,,No,Yes,Yes,1.0,65,10,1
760,Apartment,Installed,Renovated,1160,No,Yes,Unknown,1.0,60,14,1
1200,Apartment,Installed,Good,,No,Yes,Unknown,1.0,63,10,1
1050,Apartment,Hyper equipped,Renovated,,No,No,Unknown,1.0,60,10,1
925,Apartment,Hyper equipped,Renovated,1070,No,Yes,No,1.0,58,14,1
650,Other,Installed,Good,1090,No,Yes,Unknown,1.0,38,10,1
840,Other,Not installed,Renovated,,No,Yes,Unknown,1.0,40,10,1
985,Apartment,Not installed,No renovated,1080,No,Yes,Unknown,1.0,83,16,1
1215,Apartment,Hyper equipped,Good,,No,Yes,Unknown,1.0,80,14,1
1010,Other,Not installed,Good,,No,No,Unknown,1.0,128,10,1
2650,Other,Hyper equipped,Renovated,,No,No,Unknown,2.0,230,25,4
1050,Apartment,Hyper equipped,Good,,No,Yes,Yes,1.0,128,10,1
1750,Apartment,Hyper equipped,Good,1050,No,Yes,Unknown,1.0,85,11,2
800,Apartment,Installed,Good,1180,No,Yes,Unknown,1.0,63,16,1
1820,Apartment,Hyper equipped,Renovated,1150,No,Yes,No,2.0,130,20,3
1200,Apartment,Installed,Good,,No,No,Unknown,1.0,128,10,3
1150,Apartment,Hyper equipped,Good,1081,No,Yes,Yes,1.0,55,19,1
935,Apartment,Not installed,Good,1190,No,Yes,Unknown,1.0,128,10,2
830,Other,Installed,Renovated,,No,Yes,Yes,1.0,119,10,1
1650,Apartment,Hyper equipped,Renovated,1210,No,Yes,No,2.0,110,15,3
970,Apartment,Not installed,Good,,No,No,Unknown,1.0,90,10,2
790,Other,Semi equipped,Good,1050,No,Yes,Yes,1.0,50,10,1
1340,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,120,10,1
930,Apartment,Installed,Good,1040,No,No,Unknown,1.0,128,10,1
1180,Other,Hyper equipped,Renovated,1180,No,Yes,Unknown,1.0,90,14,1
1180,Apartment,Not installed,Good,1050,No,No,No,1.0,101,10,2
1390,Other,Not installed,Renovated,1050,No,No,Unknown,2.0,90,10,2
1650,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,128,12,3
1900,Other,Installed,Renovated,1150,No,Yes,Unknown,2.0,136,15,2
2425,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,105,19,2
1510,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,116,15,2
1400,Apartment,Installed,Good,1030,No,Yes,Yes,2.0,128,13,2
1000,Apartment,Not installed,Renovated,1060,No,No,Unknown,1.0,70,20,1
1650,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,110,15,3
2800,Other,Not installed,Good,1180,No,No,Unknown,2.0,128,10,3
1000,Apartment,Installed,Renovated,1060,No,Yes,Unknown,1.0,57,9,1
2329,Apartment,Hyper equipped,Renovated,1150,No,Yes,Unknown,3.0,180,17,3
470,Apartment,Not installed,Good,1180,No,No,Yes,0.0,128,10,1
1100,Apartment,Hyper equipped,Renovated,1050,No,Yes,Unknown,1.0,114,15,1
1850,Other,Hyper equipped,Renovated,1050,No,Yes,No,1.0,145,16,2
1950,Other,Hyper equipped,Renovated,1050,No,Yes,No,3.0,151,15,2
1025,Apartment,Not installed,Renovated,1070,No,Yes,Unknown,2.0,57,14,1
1380,Other,Installed,Renovated,1030,No,Yes,No,1.0,120,10,2
1050,Apartment,Semi equipped,Renovated,1120,No,Yes,Unknown,1.0,100,16,2
1400,Other,Installed,Good,1150,No,Yes,No,2.0,120,14,3
870,Other,Installed,Renovated,,No,Yes,Yes,1.0,35,10,1
2650,Apartment,Not installed,Renovated,1180,No,Yes,No,2.0,140,10,3
1290,Other,Not installed,Good,1000,No,Yes,No,1.0,80,10,2
890,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,48,10,1
1260,Apartment,Installed,Renovated,1030,No,No,Unknown,1.0,95,10,2
1750,Other,Hyper equipped,Renovated,1050,No,Yes,No,2.0,96,14,2
1550,Apartment,Not installed,Good,1060,No,No,Unknown,0.0,130,10,1
790,Other,Installed,Good,1050,No,Yes,Yes,1.0,35,10,1
1430,Apartment,Not installed,Renovated,1050,No,Yes,Unknown,1.0,98,13,2
1050,Apartment,Semi equipped,Renovated,1200,No,Yes,Unknown,1.0,80,13,2
770,Other,Installed,Renovated,1140,No,Yes,No,1.0,37,10,1
1780,Other,Installed,Good,1050,No,Yes,No,1.0,167,14,2
1750,Apartment,Installed,Good,1050,No,Yes,No,1.0,89,10,2
3300,Other,Hyper equipped,Renovated,1000,No,Yes,No,2.0,128,16,2
2600,Other,Hyper equipped,Renovated,1000,No,Yes,No,3.0,128,12,3
4200,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,3.0,150,15,3
1065,Apartment,Hyper equipped,Renovated,1083,No,Yes,No,1.0,71,13,1
990,Apartment,Semi equipped,Renovated,1050,No,Yes,No,1.0,80,12,1
805,Apartment,Installed,Renovated,1083,No,Yes,No,1.0,65,12,1
1185,Apartment,Installed,Renovated,1082,No,Yes,No,1.0,95,14,2
4350,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,3.0,220,20,3
1120,Other,Hyper equipped,Renovated,1083,No,Yes,Unknown,1.0,65,12,1
