target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
935,Apartment,Installed,Renovated,1030,No,No,Unknown,1.0,128,10,2
450,Other,Not installed,Good,1030,No,No,Unknown,1.0,128,15,1
1680,Apartment,Hyper equipped,Renovated,1050,No,Yes,Unknown,3.0,110,10,2
1040,Other,Semi equipped,Renovated,1030,No,Yes,Unknown,1.0,85,16,2
800,Other,Installed,Renovated,1000,No,Yes,Unknown,1.0,37,10,1
860,Apartment,Not installed,Good,1040,No,Yes,No,1.0,60,10,1
750,Apartment,Not installed,Good,1090,No,Yes,Unknown,1.0,98,12,1
1150,Apartment,Hyper equipped,Renovated,1180,No,Yes,Unknown,1.0,98,10,2
1770,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,135,18,3
1530,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,76,18,2
770,Apartment,Not installed,Good,1040,No,No,Unknown,1.0,128,11,1
800,Apartment,Not installed,Renovated,,No,No,Unknown,1.0,44,9,1
850,Other,Not installed,Good,1030,No,Yes,No,1.0,55,14,1
850,Apartment,Hyper equipped,Good,1020,No,Yes,Unknown,1.0,83,10,1
3350,Other,Hyper equipped,Renovated,1180,No,Yes,Unknown,3.0,210,25,3
1195,Apartment,Hyper equipped,Renovated,1000,No,Yes,Unknown,2.0,128,16,2
700,Other,Not installed,Good,1070,No,Yes,Yes,1.0,128,10,1
1180,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,61,10,1
2005,Apartment,Hyper equipped,Renovated,1060,No,Yes,No,2.0,130,15,2
3950,Other,Hyper equipped,Good,1050,No,Yes,No,2.0,155,18,2
1100,Apartment,Hyper equipped,Good,1050,No,Yes,Yes,1.0,80,10,1
1600,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,93,15,2
1600,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,93,15,2
1400,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,45,12,1
1575,Apartment,Hyper equipped,Renovated,1150,No,Yes,No,2.0,120,19,2
2400,Other,Hyper equipped,Renovated,,No,Yes,No,5.0,180,11,4
1620,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,110,14,3
1900,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,140,20,3
2100,Apartment,Hyper equipped,Renovated,,No,Yes,No,2.0,145,16,3
1650,Other,Hyper equipped,Renovated,1160,No,Yes,No,3.0,180,16,2
1675,Apartment,Hyper equipped,Renovated,,No,Yes,No,2.0,90,14,2
830,Apartment,Not installed,Good,1070,No,Yes,No,1.0,38,11,1
1100,Apartment,Semi equipped,Good,1083,No,Yes,Unknown,1.0,88,8,3
950,Apartment,Installed,Renovated,1160,No,Yes,No,1.0,72,16,1
2150,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,179,15,3
1500,Apartment,Installed,Renovated,1180,No,Yes,Yes,1.0,91,14,2
1700,Apartment,Hyper equipped,Renovated,1180,No,Yes,Yes,1.0,80,12,2
1975,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,100,21,2
1250,Apartment,Hyper equipped,Good,1040,No,Yes,No,1.0,92,12,2
1480,Apartment,Hyper equipped,Good,1000,No,Yes,No,1.0,85,16,2
1280,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,107,15,2
1380,Apartment,Hyper equipped,Good,1200,No,Yes,No,1.0,100,14,3
1800,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,125,15,2
1800,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,125,15,2
1750,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,128,23,3
2350,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,130,10,2
2250,Apartment,Not installed,Renovated,,No,Yes,No,2.0,210,9,2
1150,Apartment,Not installed,Good,1160,No,Yes,No,1.0,85,10,1
800,Apartment,Installed,Renovated,1000,No,Yes,Unknown,1.0,60,16,2
1850,Apartment,Installed,Renovated,1050,No,Yes,No,2.0,145,25,2
1995,Other,Installed,Good,1000,No,Yes,No,2.0,195,10,3
1640,Apartment,Installed,Good,,No,Yes,No,2.0,90,14,2
1395,Apartment,Hyper equipped,Renovated,1040,No,Yes,No,1.0,85,10,2
1395,Other,Hyper equipped,Renovated,1040,No,Yes,No,1.0,85,10,2
1400,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,90,10,2
630,Other,Semi equipped,Good,1190,No,Yes,Unknown,1.0,35,10,1
1370,Apartment,Installed,Good,1180,No,No,No,3.0,85,10,2
1550,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,2.0,80,10,2
1340,Apartment,Hyper equipped,Renovated,1030,No,Yes,No,2.0,95,10,2
1520,Apartment,Hyper equipped,Renovated,1030,No,Yes,Yes,2.0,100,10,2
1400,Other,Hyper equipped,Renovated,1030,No,Yes,No,2.0,97,10,2
1075,Apartment,Hyper equipped,Renovated,1030,No,Yes,No,1.0,87,10,1
1900,Apartment,Installed,Renovated,1040,No,Yes,No,2.0,160,21,3
735,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,40,10,1
1100,Apartment,Semi equipped,Good,1090,No,Yes,No,1.0,75,10,2
825,Apartment,Installed,Good,1000,No,No,No,1.0,70,20,1
1470,Apartment,Hyper equipped,Good,1180,No,No,No,2.0,103,10,2
2380,Apartment,Hyper equipped,Renovated,1060,No,Yes,No,2.0,175,18,3
3620,Apartment,Not installed,Renovated,1050,No,Yes,Yes,2.0,197,10,3
900,Apartment,Hyper equipped,Good,1020,No,Yes,Unknown,1.0,80,10,1
900,Other,Installed,Good,1030,No,Yes,No,1.0,65,10,1
1325,Apartment,Hyper equipped,Good,1180,No,Yes,No,1.0,75,15,2
1210,Apartment,Installed,Good,1050,No,Yes,No,1.0,72,10,2
2250,Apartment,Hyper equipped,Good,1050,No,Yes,Yes,1.0,160,10,3
1050,Other,Hyper equipped,Good,1000,No,Yes,Yes,1.0,128,10,1
1535,Other,Installed,Good,1030,No,No,No,2.0,81,10,3
750,Apartment,Not installed,Good,1030,No,Yes,Yes,1.0,50,10,1
1825,Apartment,Hyper equipped,Renovated,1160,No,Yes,No,3.0,110,15,3
2150,Apartment,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,120,16,3
975,Other,Not installed,Renovated,1000,No,Yes,Yes,1.0,40,10,1
1060,Apartment,Not installed,Good,1050,No,No,Unknown,1.0,85,10,1
1600,Apartment,Hyper equipped,Renovated,1060,No,No,Unknown,1.0,128,15,2
1075,Apartment,Hyper equipped,Renovated,1140,No,Yes,No,12.0,70,16,1
1700,Apartment,Installed,Good,1050,No,No,No,1.0,130,25,2
1075,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,65,11,1
1050,Other,Installed,Good,1180,No,Yes,Yes,1.0,40,10,1
2500,Other,Not installed,Good,1160,No,Yes,No,0.0,200,10,5
1780,Apartment,Hyper equipped,Renovated,1040,No,Yes,No,2.0,105,15,2
900,Other,Installed,Renovated,1000,No,Yes,Yes,1.0,45,10,1
850,Apartment,Not installed,Good,1030,No,No,Unknown,0.0,128,10,1
550,Apartment,Installed,Good,1020,No,No,Unknown,1.0,40,10,1
1260,Apartment,Hyper equipped,Renovated,,No,Yes,Yes,1.0,70,17,1
1000,Other,Hyper equipped,Good,1180,No,Yes,Yes,1.0,40,10,1
1350,Apartment,Hyper equipped,Good,,No,Yes,No,1.0,75,10,2
980,Apartment,Semi equipped,Good,1050,No,Yes,No,1.0,74,10,1
970,Apartment,Hyper equipped,Good,1210,No,Yes,No,1.0,70,10,1
700,Other,Hyper equipped,Good,1180,No,Yes,No,1.0,49,10,1
1550,Apartment,Hyper equipped,Good,1050,No,Yes,No,2.0,80,10,2
1300,Other,Not installed,Good,1180,No,Yes,No,1.0,100,15,2
1750,Apartment,Hyper equipped,Good,1050,No,Yes,Yes,2.0,93,10,2
2570,Apartment,Hyper equipped,Good,1050,No,Yes,No,1.0,135,10,3
800,Other,Semi equipped,Renovated,1000,No,Yes,Yes,1.0,36,10,1
1750,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,93,10,2
1480,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,1.0,55,15,1
2862,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,2.0,128,10,3
2862,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,2.0,128,10,3
1125,Apartment,Hyper equipped,Renovated,1160,No,Yes,No,1.0,65,10,1
1125,Other,Hyper equipped,Renovated,1160,No,Yes,No,1.0,76,10,1
810,Apartment,Not installed,Good,1000,No,No,Unknown,1.0,65,22,1
995,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,74,10,1
1708,Apartment,Hyper equipped,Renovated,1081,No,Yes,Yes,0.0,112,10,3
1350,Apartment,Not installed,Good,1000,No,Yes,Yes,1.0,50,10,1
1549,Apartment,Hyper equipped,Renovated,1081,No,Yes,Yes,0.0,110,10,2
3560,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,220,10,3
975,Apartment,Not installed,Good,,No,Yes,No,1.0,70,15,1
1250,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,70,10,1
2265,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,130,16,2
3200,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,164,24,2
2900,Other,Not installed,Renovated,1050,No,Yes,No,2.0,230,29,5
1500,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,90,18,2
1175,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,70,10,1
1150,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,60,13,1
2600,Other,Not installed,Renovated,1050,No,Yes,No,1.0,150,20,3
1350,Apartment,Not installed,Renovated,1050,No,Yes,Yes,1.0,65,15,1
1750,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,90,17,2
4850,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,194,17,3
6000,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,235,18,3
2500,Apartment,Installed,Renovated,1050,No,Yes,No,3.0,192,22,3
3550,Apartment,Installed,Renovated,1050,No,Yes,No,3.0,170,19,3
3350,Other,Not installed,Renovated,1050,No,Yes,No,2.0,130,22,2
3350,Other,Not installed,Renovated,1050,No,Yes,No,2.0,130,22,2
3350,Other,Not installed,Renovated,1050,No,Yes,No,2.0,130,22,2
3350,Other,Not installed,Renovated,1050,No,Yes,No,2.0,130,22,2
4400,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,200,22,2
4400,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,200,22,2
4400,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,200,22,2
4400,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,200,22,2
4200,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,200,25,2
4200,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,200,25,2
4200,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,200,25,2
4200,Apartment,Not installed,Renovated,1050,No,Yes,No,1.0,200,25,2
1350,Apartment,Not installed,Renovated,,No,No,Yes,1.0,75,16,2
1195,Other,Hyper equipped,Good,1020,No,Yes,No,2.0,110,15,2
1150,Apartment,Hyper equipped,Good,1050,No,No,Unknown,1.0,128,10,1
1800,Apartment,Not installed,Good,1000,No,Yes,No,3.0,152,10,2
2875,Apartment,Not installed,Good,1000,No,Yes,No,3.0,150,10,3
2000,Apartment,Not installed,Good,1000,No,Yes,No,3.0,152,10,2
6000,Apartment,Not installed,Good,1000,No,Yes,No,3.0,200,10,3
1499,Apartment,Hyper equipped,Renovated,1081,No,Yes,Yes,0.0,112,10,2
1550,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,79,12,2
1950,Other,Hyper equipped,Renovated,1000,No,Yes,Unknown,3.0,220,30,3
2800,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,160,16,2
735,Other,Not installed,Good,1000,No,Yes,Yes,1.0,38,10,1
1360,Other,Hyper equipped,Renovated,1160,No,Yes,No,2.0,100,13,2
1450,Apartment,Hyper equipped,Renovated,1150,No,Yes,No,1.0,124,15,3
1330,Other,Hyper equipped,Renovated,1070,No,Yes,No,1.0,80,14,2
2150,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,125,22,2
865,Other,Installed,Renovated,1050,No,Yes,Yes,1.0,50,25,1
4200,Apartment,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,170,23,2
3350,Other,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,100,24,2
3350,Other,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,100,12,2
2375,Other,Installed,Renovated,1180,No,Yes,Yes,2.0,134,24,3
2800,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,141,10,3
1325,Other,Installed,Renovated,1050,No,Yes,No,2.0,77,16,1
1080,Apartment,Installed,Good,1083,No,Yes,No,1.0,73,13,2
1530,Apartment,Hyper equipped,Good,1050,No,Yes,No,2.0,102,13,2
1500,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,94,15,2
910,Apartment,Hyper equipped,Renovated,1083,No,Yes,No,1.0,63,14,1
1790,Apartment,Hyper equipped,Renovated,1081,No,Yes,No,2.0,115,16,3
2680,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,170,15,3
1750,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,93,16,2
1450,Other,Installed,Renovated,,No,No,Unknown,1.0,90,15,2
720,Other,Installed,Good,1190,No,No,No,1.0,86,10,1
1600,Apartment,Not installed,Good,1200,No,Yes,No,2.0,134,19,2
1395,Other,Hyper equipped,Renovated,1190,No,Yes,No,2.0,80,14,2
1050,Apartment,Not installed,Renovated,1083,No,Yes,No,1.0,62,17,1
875,Other,Installed,Good,1200,No,Yes,No,1.0,65,14,1
1270,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,78,11,2
1990,Apartment,Hyper equipped,Good,1180,No,Yes,No,2.0,112,16,3
1000,Apartment,Installed,Renovated,1190,No,Yes,Yes,1.0,70,15,1
795,Apartment,Installed,Good,1040,No,Yes,No,1.0,66,16,1
730,Apartment,Semi equipped,Good,,No,Yes,Unknown,1.0,46,10,1
2500,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,170,16,4
1350,Other,Semi equipped,Renovated,1190,No,Yes,Unknown,1.0,85,10,2
705,Apartment,Not installed,Renovated,1150,No,Yes,No,1.0,40,10,1
1700,Apartment,Hyper equipped,Good,1180,No,Yes,No,2.0,115,18,2
850,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,1.0,128,60,1
1350,Other,Installed,Good,1180,No,No,No,3.0,105,15,2
2050,Apartment,Hyper equipped,Good,1180,No,Yes,No,2.0,134,20,3
1400,Apartment,Not installed,Good,1083,No,Yes,No,2.0,95,15,3
1100,Apartment,Installed,Renovated,,No,Yes,No,1.0,85,10,2
3000,Other,Installed,Good,1050,No,No,Yes,3.0,284,22,3
980,Apartment,Not installed,Good,1000,No,Yes,Unknown,1.0,128,10,1
2210,Apartment,Hyper equipped,Renovated,1160,No,Yes,No,2.0,115,12,3
2100,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,135,16,3
2250,Other,Installed,Renovated,1180,No,Yes,Yes,2.0,76,14,3
1450,Apartment,Hyper equipped,Renovated,1030,No,Yes,Unknown,2.0,130,15,3
2650,Apartment,Installed,Good,1050,No,Yes,No,3.0,184,10,3
3000,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,220,27,3
1310,Other,Hyper equipped,Renovated,1160,No,Yes,Unknown,2.0,90,14,2
1000,Apartment,Hyper equipped,Good,1050,No,No,Yes,1.0,70,10,1
1200,Apartment,Installed,Good,1180,No,No,No,1.0,92,18,2
1170,Other,Installed,Good,1050,No,Yes,No,1.0,87,10,1
1400,Apartment,Hyper equipped,Renovated,1060,No,Yes,Yes,1.0,65,12,2
2050,Apartment,Installed,Renovated,1150,No,Yes,No,2.0,180,10,3
1750,Other,Installed,Renovated,1180,No,Yes,Yes,2.0,85,15,2
975,Apartment,Installed,Good,1050,No,No,No,0.0,70,12,1
2375,Apartment,Hyper equipped,Renovated,1140,No,Yes,Yes,2.0,134,24,3
1725,Apartment,Hyper equipped,Renovated,1160,No,Yes,Yes,1.0,75,16,2
1725,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,71,11,2
1500,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,91,14,2
2500,Apartment,Hyper equipped,Renovated,1140,No,Yes,Yes,2.0,118,14,3
2100,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,2.0,93,12,3
1150,Apartment,Semi equipped,Renovated,1050,No,No,Unknown,1.0,60,9,1
1750,Other,Hyper equipped,Renovated,1140,No,Yes,Yes,1.0,84,15,2
1030,Other,Hyper equipped,Renovated,1140,No,Yes,Yes,1.0,45,8,1
2130,Apartment,Hyper equipped,Renovated,1160,No,Yes,No,2.0,139,18,3
3500,Other,Hyper equipped,Renovated,1150,No,Yes,No,3.0,285,25,3
2130,Apartment,Hyper equipped,Renovated,1170,No,Yes,No,2.0,139,18,3
725,Other,Not installed,Good,1040,No,No,Unknown,0.0,128,10,1
820,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
800,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
800,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
820,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
800,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
800,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,128,10,1
900,Other,Hyper equipped,Renovated,1080,No,Yes,No,1.0,45,6,1
715,Apartment,Not installed,Good,1060,No,Yes,No,1.0,56,10,1
1260,Apartment,Installed,Good,,No,Yes,No,1.0,100,10,2
975,Other,Not installed,Good,1030,No,No,Unknown,0.0,128,10,1
995,Apartment,Installed,Renovated,1140,No,Yes,Unknown,1.0,45,14,1
2600,Other,Hyper equipped,Renovated,1060,No,Yes,No,3.0,240,18,5
2950,Apartment,Not installed,Renovated,1180,No,Yes,No,1.0,145,32,2
1800,Other,Hyper equipped,Good,1180,No,Yes,No,2.0,140,17,3
1050,Apartment,Hyper equipped,Good,,No,Yes,Yes,1.0,60,10,1
1750,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,119,15,2
1600,Apartment,Hyper equipped,Renovated,1150,No,Yes,No,1.0,100,16,2
1950,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,2.0,80,14,2
1950,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,2.0,80,14,2
1050,Other,Hyper equipped,Renovated,1050,No,Yes,No,1.0,60,12,1
1150,Apartment,Installed,Renovated,1200,No,Yes,Unknown,1.0,75,12,2
900,Other,Not installed,Good,1180,No,Yes,No,1.0,50,10,1
1150,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,70,17,1
1530,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,70,15,2
2100,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,160,20,3
1950,Other,Installed,Renovated,1180,No,Yes,No,2.0,129,18,2
2250,Other,Hyper equipped,Good,1180,No,Yes,No,3.0,180,15,4
1950,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,119,19,3
2930,Other,Hyper equipped,Renovated,1180,No,Yes,Yes,3.0,200,20,2
1350,Apartment,Hyper equipped,Good,1083,No,Yes,No,2.0,106,14,3
1650,Other,Hyper equipped,Good,,No,Yes,No,2.0,120,30,3
2470,Apartment,Hyper equipped,Renovated,1150,No,Yes,No,2.0,143,19,2
2201,Apartment,Hyper equipped,Good,1180,No,Yes,No,3.0,180,20,2
2500,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,132,15,3
2280,Apartment,Not installed,Good,,No,No,Yes,1.0,128,13,4
680,Other,Not installed,Good,1200,No,Yes,No,1.0,35,10,1
1200,Apartment,Installed,Renovated,1200,No,Yes,No,1.0,100,17,2
1970,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,100,15,2
1345,Apartment,Installed,Good,1050,No,Yes,No,1.0,80,10,1
1895,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,2.0,106,10,3
1200,Apartment,Installed,Good,1000,No,No,Unknown,1.0,80,10,2
980,Apartment,Installed,Good,1040,No,Yes,No,1.0,70,10,1
2200,Apartment,Installed,Good,1180,No,No,No,2.0,220,10,1
1200,Other,Hyper equipped,Renovated,1200,No,Yes,Unknown,1.0,65,16,1
1500,Other,Hyper equipped,Renovated,1150,No,Yes,Unknown,2.0,96,16,2
1420,Apartment,Hyper equipped,Renovated,1200,No,Yes,Unknown,2.0,106,12,2
950,Other,Installed,Renovated,1140,No,Yes,Unknown,1.0,43,10,1
1400,Apartment,Not installed,Good,1150,No,Yes,Unknown,1.0,85,12,2
1200,Apartment,Installed,Good,1000,No,Yes,Yes,1.0,65,10,1
1170,Apartment,Hyper equipped,Good,1190,No,Yes,Yes,1.0,55,14,1
975,Apartment,Not installed,Good,1040,No,Yes,No,1.0,76,16,1
1450,Apartment,Not installed,Good,,No,No,Unknown,0.0,95,10,1
1250,Apartment,Hyper equipped,Renovated,1070,No,Yes,Yes,1.0,90,14,2
750,Other,Installed,Renovated,1030,No,Yes,Yes,1.0,35,10,1
1040,Apartment,Not installed,Renovated,1170,No,Yes,No,1.0,75,17,1
1300,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,70,10,1
1500,Apartment,Not installed,Good,1050,No,Yes,Yes,0.0,100,10,1
960,Apartment,Hyper equipped,Good,1030,No,Yes,No,1.0,60,11,1
1025,Apartment,Not installed,Good,1140,No,Yes,Unknown,1.0,128,10,2
1675,Apartment,Installed,Renovated,1050,No,Yes,No,2.0,105,15,2
785,Apartment,Semi equipped,Renovated,1050,No,Yes,No,1.0,54,10,1
3930,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,2.0,155,16,2
1700,Apartment,Installed,Good,1180,No,Yes,No,2.0,100,20,2
1000,Apartment,Installed,Renovated,1020,No,Yes,No,1.0,80,10,1
940,Apartment,Semi equipped,Good,1000,No,Yes,Unknown,1.0,128,10,2
1300,Apartment,Hyper equipped,Renovated,1210,No,Yes,Yes,1.0,128,14,1
950,Apartment,Installed,Good,1060,No,Yes,Yes,1.0,60,10,1
930,Apartment,Not installed,Good,1040,No,Yes,No,2.0,56,10,1
1400,Apartment,Hyper equipped,Good,1180,No,No,Yes,1.0,60,10,1
2070,Apartment,Installed,Renovated,,No,Yes,Unknown,1.0,98,14,2
900,Apartment,Installed,Good,1030,No,No,No,1.0,75,10,1
2070,Apartment,Installed,Renovated,1000,No,Yes,Unknown,2.0,98,14,2
3000,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,2.0,136,20,2
1300,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,80,17,1
1070,Apartment,Not installed,Good,1040,No,No,No,1.0,50,10,1
3525,Apartment,Hyper equipped,Good,1180,No,No,Yes,2.0,100,10,2
1135,Apartment,Installed,Good,1030,No,Yes,No,1.0,65,13,1
2500,Apartment,Hyper equipped,Renovated,1050,No,Yes,Unknown,2.0,114,21,2
1100,Apartment,Installed,Renovated,1000,No,Yes,Yes,1.0,65,10,1
1400,Other,Hyper equipped,Renovated,1180,No,Yes,No,1.0,98,18,2
2595,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,3.0,210,28,3
835,Apartment,Semi equipped,Good,1082,No,Yes,Unknown,1.0,122,18,2
1350,Other,Hyper equipped,Renovated,1060,No,Yes,Unknown,1.0,80,10,1
1200,Apartment,Semi equipped,Renovated,1000,No,Yes,No,1.0,130,10,3
815,Apartment,Not installed,Good,1030,No,No,Unknown,1.0,90,10,1
2400,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,200,10,4
1700,Apartment,Not installed,Renovated,1000,No,Yes,Yes,2.0,115,10,2
2000,Apartment,Hyper equipped,Renovated,1200,No,No,Yes,1.0,110,15,2
1000,Other,Hyper equipped,Good,1210,No,Yes,No,1.0,70,10,1
1320,Apartment,Installed,Renovated,1140,No,Yes,Unknown,1.0,70,10,1
2680,Other,Hyper equipped,Renovated,1050,No,Yes,No,2.0,143,10,3
950,Other,Not installed,Renovated,1000,No,Yes,No,1.0,45,10,1
1750,Apartment,Semi equipped,Renovated,1050,No,Yes,No,2.0,160,25,3
1950,Other,Installed,Renovated,1050,No,Yes,No,2.0,220,40,3
1200,Apartment,Not installed,Good,,No,Yes,Unknown,1.0,95,17,2
850,Other,Not installed,Good,,No,Yes,No,1.0,75,10,1
1350,Apartment,Hyper equipped,Renovated,1083,No,Yes,No,1.0,115,15,3
870,Apartment,Installed,Good,1040,No,Yes,Unknown,1.0,75,19,1
1450,Apartment,Not installed,Good,,No,No,No,1.0,128,10,2
2150,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,125,15,3
850,Other,Installed,Good,1160,No,Yes,No,1.0,51,17,1
1650,Other,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,100,23,1
4400,Apartment,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,155,19,2
4400,Apartment,Hyper equipped,Renovated,1180,No,Yes,Yes,2.0,140,14,2
3050,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,180,14,4
4200,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,170,23,2
4400,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,140,14,2
4400,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,2.0,155,19,2
3350,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,100,12,2
3350,Other,Hyper equipped,Renovated,1180,No,Yes,No,2.0,100,24,2
1200,Other,Hyper equipped,Renovated,1200,No,Yes,No,1.0,68,12,1
890,Apartment,Installed,Renovated,1080,No,Yes,No,1.0,80,20,1
1130,Other,Hyper equipped,Good,1070,No,Yes,Yes,1.0,129,13,1
910,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,60,10,1
650,Other,Installed,Good,,No,No,Yes,1.0,128,10,1
2000,Other,Not installed,Good,1050,No,Yes,No,2.0,220,10,3
1700,Apartment,Not installed,Renovated,1050,No,Yes,No,2.0,160,10,3
2600,Other,Hyper equipped,Good,1000,No,Yes,No,4.0,200,10,3
2350,Other,Installed,Good,1060,No,Yes,No,5.0,250,10,5
961,Apartment,Not installed,Good,1030,No,Yes,No,1.0,75,22,2
800,Other,Installed,Renovated,1070,No,Yes,Unknown,1.0,36,10,1
1525,Other,Hyper equipped,Good,1040,No,Yes,No,1.0,85,10,1
1525,Apartment,Hyper equipped,Good,1040,No,Yes,No,1.0,85,10,1
1080,Apartment,Not installed,Good,,No,No,Unknown,1.0,80,16,2
1240,Other,Hyper equipped,Good,1000,No,Yes,No,1.0,100,35,1
1250,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,70,10,1
1100,Apartment,Not installed,Renovated,1180,No,Yes,Yes,1.0,50,10,1
980,Apartment,Hyper equipped,Renovated,1160,No,Yes,Unknown,1.0,75,15,1
1310,Other,Installed,Renovated,1180,No,Yes,Yes,1.0,85,17,2
1575,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,70,15,1
2350,Other,Installed,Renovated,1030,No,Yes,Unknown,3.0,180,15,5
1150,Apartment,Not installed,Renovated,1200,No,Yes,No,1.0,120,10,2
4400,Apartment,Not installed,Renovated,1050,No,Yes,No,4.0,250,23,3
