target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
1820,Apartment,Hyper equipped,Renovated,1150,Yes,2.0,130,3
1200,Apartment,Installed,Good,,No,1.0,128,3
1150,Apartment,Hyper equipped,Good,1081,Yes,1.0,55,1
935,Apartment,Not installed,Good,1190,Yes,1.0,128,2
830,Other,Installed,Renovated,,Yes,1.0,119,1
1650,Apartment,Hyper equipped,Renovated,1210,Yes,2.0,110,3
970,Apartment,Not installed,Good,,No,1.0,90,2
790,Other,Semi equipped,Good,1050,Yes,1.0,50,1
1340,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,120,1
930,Apartment,Installed,Good,1040,No,1.0,128,1
1180,Other,Hyper equipped,Renovated,1180,Yes,1.0,90,1
1180,Apartment,Not installed,Good,1050,No,1.0,101,2
1390,Other,Not installed,Renovated,1050,No,2.0,90,2
1650,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,128,3
1900,Other,Installed,Renovated,1150,Yes,2.0,136,2
2425,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,105,2
1510,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,116,2
1400,Apartment,Installed,Good,1030,Yes,2.0,128,2
1000,Apartment,Not installed,Renovated,1060,No,1.0,70,1
1650,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,110,3
2800,Other,Not installed,Good,1180,No,2.0,128,3
1000,Apartment,Installed,Renovated,1060,Yes,1.0,57,1
2329,Apartment,Hyper equipped,Renovated,1150,Yes,3.0,180,3
470,Apartment,Not installed,Good,1180,No,0.0,128,1
1100,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,114,1
1850,Other,Hyper equipped,Renovated,1050,Yes,1.0,145,2
1950,Other,Hyper equipped,Renovated,1050,Yes,3.0,151,2
1025,Apartment,Not installed,Renovated,1070,Yes,2.0,57,1
1380,Other,Installed,Renovated,1030,Yes,1.0,120,2
1050,Apartment,Semi equipped,Renovated,1120,Yes,1.0,100,2
1400,Other,Installed,Good,1150,Yes,2.0,120,3
870,Other,Installed,Renovated,,Yes,1.0,35,1
2650,Apartment,Not installed,Renovated,1180,Yes,2.0,140,3
1290,Other,Not installed,Good,1000,Yes,1.0,80,2
890,Apartment,Not installed,Renovated,1050,Yes,1.0,48,1
1260,Apartment,Installed,Renovated,1030,No,1.0,95,2
1750,Other,Hyper equipped,Renovated,1050,Yes,2.0,96,2
1550,Apartment,Not installed,Good,1060,No,0.0,130,1
790,Other,Installed,Good,1050,Yes,1.0,35,1
1430,Apartment,Not installed,Renovated,1050,Yes,1.0,98,2
1050,Apartment,Semi equipped,Renovated,1200,Yes,1.0,80,2
770,Other,Installed,Renovated,1140,Yes,1.0,37,1
1780,Other,Installed,Good,1050,Yes,1.0,167,2
1750,Apartment,Installed,Good,1050,Yes,1.0,89,2
3300,Other,Hyper equipped,Renovated,1000,Yes,2.0,128,2
2600,Other,Hyper equipped,Renovated,1000,Yes,3.0,128,3
4200,Other,Hyper equipped,Renovated,1050,Yes,3.0,150,3
1065,Apartment,Hyper equipped,Renovated,1083,Yes,1.0,71,1
990,Apartment,Semi equipped,Renovated,1050,Yes,1.0,80,1
805,Apartment,Installed,Renovated,1083,Yes,1.0,65,1
1185,Apartment,Installed,Renovated,1082,Yes,1.0,95,2
4350,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,220,3
1120,Other,Hyper equipped,Renovated,1083,Yes,1.0,65,1
1205,Apartment,Hyper equipped,Renovated,1083,Yes,1.0,70,1
920,Other,Hyper equipped,Renovated,1083,Yes,1.0,42,1
2200,Other,Hyper equipped,Renovated,1150,Yes,3.0,173,5
1775,Apartment,Hyper equipped,Renovated,,Yes,2.0,144,3
1380,Apartment,Semi equipped,Renovated,1150,Yes,1.0,100,2
850,Apartment,Hyper equipped,Good,1190,Yes,1.0,60,2
1100,Apartment,Installed,Good,1000,Yes,1.0,74,1
1400,Apartment,Not installed,Renovated,1160,Yes,1.0,100,3
905,Other,Hyper equipped,Renovated,1180,Yes,1.0,47,1
1100,Other,Hyper equipped,Renovated,1040,Yes,1.0,38,1
1750,Apartment,Installed,Renovated,1160,Yes,1.0,72,1
1200,Apartment,Hyper equipped,Renovated,1000,No,1.0,60,1
1340,Apartment,Installed,Renovated,1150,Yes,1.0,80,1
1330,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,90,2
2100,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,139,2
1180,Apartment,Not installed,Renovated,1080,Yes,1.0,100,2
1250,Other,Hyper equipped,Good,1150,Yes,1.0,100,2
1250,Other,Hyper equipped,Good,1150,Yes,1.0,100,2
900,Apartment,Not installed,Renovated,1080,Yes,1.0,98,2
1650,Other,Hyper equipped,Renovated,1040,Yes,2.0,135,3
4100,Other,Hyper equipped,Renovated,1000,Yes,3.0,220,2
