target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
1065,Apartment,Hyper equipped,Renovated,1150,Yes,2.0,68,1
760,Other,Not installed,Good,1180,Yes,1.0,45,1
825,Apartment,Not installed,Good,1050,Yes,1.0,62,1
1230,Apartment,Hyper equipped,Renovated,,Yes,1.0,85,2
830,Apartment,Not installed,Good,1200,Yes,1.0,128,1
1430,Other,Hyper equipped,Renovated,1050,Yes,2.0,153,2
950,Apartment,Hyper equipped,Good,1000,Yes,1.0,61,1
1090,Apartment,Installed,Renovated,1040,Yes,1.0,60,1
1650,Other,Hyper equipped,Renovated,1160,Yes,1.0,90,2
1770,Other,Semi equipped,Good,,Yes,2.0,137,4
1495,Apartment,Hyper equipped,Renovated,1180,No,1.0,75,1
2680,Other,Hyper equipped,Renovated,1180,Yes,2.0,165,3
3350,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,195,3
1290,Apartment,Hyper equipped,Good,1040,Yes,1.0,80,2
1140,Apartment,Hyper equipped,Good,1000,Yes,1.0,70,1
1025,Other,Hyper equipped,Renovated,1040,Yes,1.0,50,1
1245,Apartment,Hyper equipped,Good,1150,Yes,1.0,128,1
3250,Apartment,Installed,Renovated,1050,Yes,3.0,128,4
2200,Other,Not installed,Good,1150,Yes,1.0,150,4
1400,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,83,2
1790,Apartment,Not installed,Good,1050,Yes,1.0,135,2
1550,Apartment,Installed,Good,1200,Yes,1.0,120,3
1750,Apartment,Hyper equipped,Good,,Yes,1.0,110,2
2800,Other,Hyper equipped,Good,1000,Yes,2.0,192,3
675,Other,Installed,Good,1150,Yes,1.0,42,1
910,Apartment,Hyper equipped,Renovated,1060,Yes,1.0,50,1
1350,Other,Hyper equipped,Renovated,1150,Yes,1.0,109,2
800,Apartment,Installed,Good,1050,Yes,1.0,45,1
1195,Apartment,Installed,Renovated,1180,No,1.0,100,1
2700,Other,Semi equipped,Renovated,1180,Yes,2.0,145,3
1380,Other,Installed,Good,1160,Yes,2.0,100,2
1400,Apartment,Not installed,Good,1000,Yes,1.0,119,3
1015,Apartment,Installed,Renovated,1082,Yes,1.0,65,1
960,Apartment,Installed,Good,1070,Yes,1.0,86,2
735,Other,Semi equipped,Renovated,1020,Yes,1.0,60,1
800,Apartment,Installed,Good,1070,Yes,1.0,50,1
1025,Other,Installed,Good,1060,Yes,0.0,45,1
850,Apartment,Installed,Good,,Yes,1.0,60,1
950,Apartment,Installed,Renovated,,Yes,1.0,60,1
975,Apartment,Semi equipped,Good,1190,Yes,1.0,90,1
4350,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,155,2
4200,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,170,2
4200,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,170,2
3350,Other,Installed,Renovated,1050,Yes,2.0,100,2
750,Other,Installed,Renovated,1070,Yes,1.0,70,2
1550,Apartment,Installed,Good,,Yes,1.0,105,2
2200,Other,Hyper equipped,Renovated,1000,Yes,1.0,217,1
1150,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,60,1
1350,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,72,2
820,Other,Installed,Good,1000,Yes,1.0,35,1
1475,Apartment,Installed,Good,1200,Yes,2.0,113,2
1350,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,100,2
2095,Apartment,Not installed,Good,1160,Yes,2.0,135,3
1305,Apartment,Hyper equipped,Renovated,1150,Yes,1.0,90,2
2175,Apartment,Hyper equipped,Renovated,1150,Yes,2.0,151,3
1075,Apartment,Semi equipped,Good,1150,Yes,1.0,75,2
1550,Apartment,Installed,Renovated,1050,Yes,2.0,80,1
1750,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,100,2
1475,Apartment,Hyper equipped,Renovated,1150,Yes,1.0,105,2
1375,Other,Not installed,Renovated,1050,Yes,1.0,85,1
1050,Apartment,Not installed,Good,1000,Yes,1.0,50,1
1100,Apartment,Hyper equipped,Good,1060,Yes,1.0,78,1
1270,Apartment,Hyper equipped,Good,1000,Yes,1.0,95,2
745,Other,Hyper equipped,Renovated,,Yes,1.0,36,1
1100,Apartment,Semi equipped,Good,1190,Yes,1.0,65,3
1150,Apartment,Hyper equipped,Renovated,1020,No,1.0,100,2
1770,Apartment,Hyper equipped,Good,1050,Yes,1.0,80,1
1525,Other,Hyper equipped,Renovated,1050,Yes,2.0,120,2
1450,Apartment,Hyper equipped,Renovated,1170,Yes,1.0,90,2
1470,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,102,2
1825,Other,Hyper equipped,Renovated,,Yes,2.0,110,3
910,Apartment,Installed,Renovated,1040,Yes,1.0,55,1
1150,Apartment,Installed,Good,1150,No,1.0,92,2
1310,Apartment,Semi equipped,Good,1040,Yes,1.0,68,1
785,Other,Semi equipped,No renovated,1040,Yes,1.0,58,1
1195,Apartment,Hyper equipped,Good,1040,Yes,1.0,98,2
785,Apartment,Semi equipped,No renovated,1040,Yes,1.0,58,1
895,Other,Semi equipped,Good,1040,Yes,1.0,53,1
1500,Apartment,Installed,Good,1040,Yes,2.0,130,2
1400,Apartment,Installed,Good,1060,Yes,2.0,85,2
1030,Apartment,Hyper equipped,Good,1000,Yes,1.0,70,1
1400,Apartment,Not installed,Good,1050,Yes,1.0,80,1
860,Apartment,Semi equipped,Good,1060,Yes,1.0,50,1
1200,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,128,2
870,Apartment,Not installed,Good,1050,No,2.0,60,1
830,Apartment,Installed,Good,1090,Yes,1.0,60,1
990,Apartment,Not installed,Good,1140,Yes,1.0,64,1
1700,Other,Not installed,Renovated,1050,Yes,2.0,96,2
895,Apartment,Installed,Good,1060,Yes,1.0,62,1
950,Apartment,Installed,Good,1050,No,1.0,60,1
865,Other,Not installed,Renovated,1000,Yes,1.0,128,1
1075,Apartment,Not installed,Renovated,1030,Yes,1.0,75,1
760,Apartment,Semi equipped,Good,1050,Yes,1.0,53,1
1540,Apartment,Hyper equipped,Good,1200,Yes,1.0,108,2
1520,Apartment,Not installed,Good,1000,Yes,1.0,70,1
970,Apartment,Installed,Good,1070,Yes,1.0,50,1
1750,Apartment,Installed,Good,,Yes,2.0,145,3
1545,Apartment,Not installed,Good,1000,Yes,1.0,114,2
2040,Apartment,Not installed,Renovated,1160,Yes,1.0,113,3
2200,Other,Not installed,Renovated,1050,Yes,2.0,135,2
1700,Other,Hyper equipped,Good,1050,Yes,2.0,128,2
900,Other,Hyper equipped,Good,1000,Yes,1.0,50,1
830,Apartment,Installed,Good,1000,Yes,1.0,55,1
1495,Apartment,Not installed,Renovated,,Yes,1.0,75,1
1550,Other,Not installed,Good,,Yes,1.0,78,2
1200,Other,Hyper equipped,Good,1030,Yes,1.0,70,1
1300,Apartment,Hyper equipped,Good,1030,Yes,1.0,80,2
1200,Apartment,Hyper equipped,Good,1030,Yes,1.0,70,1
1300,Apartment,Hyper equipped,Good,1030,Yes,1.0,80,2
1150,Apartment,Hyper equipped,Good,1030,Yes,1.0,60,1
1340,Apartment,Hyper equipped,Good,1030,Yes,1.0,85,2
1150,Apartment,Hyper equipped,Good,1030,Yes,1.0,60,1
1300,Apartment,Hyper equipped,Good,1030,Yes,1.0,80,2
800,Apartment,Installed,Good,1190,Yes,1.0,50,1
650,Apartment,Not installed,Good,1180,Yes,1.0,128,1
1250,Apartment,Installed,Good,1150,No,1.0,116,2
4650,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,260,4
1400,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,127,1
1420,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,90,2
1050,Other,Installed,Good,1000,Yes,2.0,98,2
1280,Apartment,Not installed,Good,1000,Yes,1.0,55,1
910,Apartment,Not installed,Good,1030,No,1.0,128,1
1380,Apartment,Hyper equipped,Renovated,1040,Yes,2.0,64,1
1000,Apartment,Semi equipped,Good,1030,Yes,1.0,70,1
940,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,64,1
895,Apartment,Hyper equipped,Good,1050,Yes,1.0,85,1
800,Other,Not installed,Good,1050,No,1.0,40,1
2000,Apartment,Not installed,Good,1050,No,1.0,135,2
2650,Other,Hyper equipped,Renovated,1150,Yes,3.0,130,3
2175,Apartment,Hyper equipped,Renovated,1160,Yes,2.0,123,3
3630,Other,Hyper equipped,Renovated,1150,Yes,3.0,190,2
1400,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,51,1
1625,Apartment,Hyper equipped,Good,1200,Yes,2.0,113,3
1075,Other,Hyper equipped,Renovated,1090,No,1.0,80,2
2350,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,130,2
865,Apartment,Not installed,Good,1000,Yes,1.0,60,1
1750,Other,Installed,Good,,No,2.0,128,3
1650,Apartment,Installed,Good,1180,No,1.0,100,2
1725,Apartment,Installed,Renovated,1180,Yes,2.0,88,2
1650,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,66,1
1850,Apartment,Hyper equipped,Renovated,1140,Yes,1.0,97,2
985,Apartment,Not installed,Good,1030,No,1.0,128,2
2100,Other,Installed,Renovated,1200,Yes,3.0,180,3
1300,Apartment,Hyper equipped,Renovated,1160,Yes,1.0,56,1
875,Apartment,Installed,Good,1000,Yes,1.0,50,1
1200,Other,Installed,Good,1050,Yes,1.0,35,1
1530,Apartment,Installed,Good,1180,No,1.0,70,2
3950,Other,Hyper equipped,Renovated,,Yes,2.0,240,4
1800,Apartment,Hyper equipped,Renovated,1160,Yes,2.0,110,2
1000,Apartment,Installed,Good,1180,Yes,1.0,70,2
975,Apartment,Hyper equipped,Good,,Yes,1.0,60,1
1850,Apartment,Not installed,Good,1000,Yes,3.0,130,2
950,Apartment,Not installed,Good,1150,Yes,2.0,105,2
5750,Apartment,Not installed,Good,1000,Yes,3.0,185,3
2750,Other,Hyper equipped,Renovated,1150,Yes,2.0,160,3
1400,Apartment,Installed,Renovated,1050,Yes,1.0,100,2
2000,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,120,2
2920,Apartment,Semi equipped,Renovated,1050,Yes,2.0,118,3
6600,Apartment,Hyper equipped,Renovated,1050,Yes,5.0,240,3
3200,Other,Semi equipped,Renovated,1050,Yes,2.0,185,3
3350,Apartment,Installed,Renovated,1050,Yes,3.0,166,3
3350,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,100,2
800,Apartment,Semi equipped,Good,1082,Yes,1.0,50,1
995,Apartment,Hyper equipped,Renovated,1030,Yes,1.0,90,2
985,Apartment,Not installed,Renovated,1200,Yes,1.0,45,1
995,Apartment,Not installed,Renovated,1050,Yes,2.0,60,1
1400,Apartment,Not installed,Renovated,1050,Yes,1.0,55,1
800,Apartment,Installed,Good,1020,Yes,1.0,65,1
1450,Apartment,Hyper equipped,Good,1050,Yes,2.0,93,2
1690,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,90,2
910,Apartment,Semi equipped,Good,1050,Yes,1.0,60,1
2500,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,89,1
1200,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,91,2
1090,Apartment,Not installed,Renovated,1180,Yes,1.0,95,2
4930,Other,Hyper equipped,Renovated,1000,Yes,2.0,180,3
3000,Other,Hyper equipped,Renovated,1000,Yes,3.0,195,5
1027,Apartment,Semi equipped,Good,1040,Yes,1.0,56,1
790,Apartment,Installed,Good,1170,Yes,1.0,55,1
950,Other,Hyper equipped,Renovated,1200,Yes,1.0,35,1
2620,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,123,2
2730,Other,Hyper equipped,Renovated,1050,Yes,2.0,122,2
1830,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,85,2
1575,Apartment,Not installed,Good,1160,Yes,1.0,110,2
1530,Apartment,Hyper equipped,Renovated,1200,Yes,2.0,120,2
1600,Apartment,Hyper equipped,Renovated,,Yes,2.0,115,2
850,Apartment,Not installed,Good,1180,Yes,2.0,80,1
1850,Other,Hyper equipped,Renovated,1180,Yes,1.0,90,2
1850,Other,Hyper equipped,Renovated,1180,Yes,1.0,90,2
5250,Apartment,Hyper equipped,Renovated,1180,Yes,3.0,272,3
1550,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,70,1
2476,Other,Hyper equipped,Renovated,1180,Yes,2.0,239,4
2170,Apartment,Hyper equipped,Renovated,1160,Yes,2.0,146,3
1200,Apartment,Installed,Good,1020,Yes,1.0,100,2
850,Apartment,Installed,Good,1140,Yes,1.0,60,1
1395,Other,Hyper equipped,Renovated,1000,Yes,1.0,66,1
1425,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,120,2
970,Other,Hyper equipped,Renovated,1000,Yes,1.0,45,1
1920,Other,Hyper equipped,Good,1050,Yes,1.0,125,2
1400,Apartment,Hyper equipped,Renovated,,Yes,1.0,60,1
1400,Other,Installed,Renovated,,Yes,1.0,60,1
1200,Other,Not installed,Good,,Yes,1.0,35,1
2005,Other,Hyper equipped,Renovated,,Yes,2.0,130,2
3750,Apartment,Not installed,Good,,No,1.0,155,2
1150,Apartment,Installed,Renovated,1050,Yes,0.0,60,1
2950,Other,Installed,Good,,No,3.0,240,4
2800,Apartment,Installed,Good,,No,2.0,210,3
945,Apartment,Installed,Renovated,1030,No,1.0,124,1
2500,Other,Hyper equipped,Renovated,1050,Yes,2.0,120,3
2500,Other,Hyper equipped,Renovated,1060,Yes,2.0,120,3
950,Other,Not installed,Good,1060,Yes,1.0,60,1
1150,Apartment,Not installed,Renovated,1050,No,1.0,70,1
2300,Other,Not installed,Good,1150,No,3.0,220,4
1950,Other,Hyper equipped,Renovated,1060,Yes,2.0,145,2
1450,Apartment,Not installed,Good,1200,Yes,2.0,110,3
805,Apartment,Not installed,Renovated,1000,Yes,1.0,50,1
990,Apartment,Not installed,Good,1050,Yes,1.0,70,1
1015,Apartment,Not installed,Renovated,,No,0.0,75,1
1440,Other,Hyper equipped,Good,1030,Yes,1.0,85,2
1440,Apartment,Hyper equipped,Good,1030,Yes,1.0,85,2
1025,Apartment,Hyper equipped,Good,1000,Yes,1.0,57,1
730,Other,Not installed,Renovated,,No,1.0,35,1
1850,Other,Installed,Renovated,1150,Yes,1.0,90,2
1200,Apartment,Installed,Renovated,1030,Yes,1.0,75,1
1035,Apartment,Installed,Renovated,1050,Yes,1.0,75,2
1110,Apartment,Hyper equipped,Good,1050,Yes,1.0,60,1
1600,Other,Installed,Renovated,,Yes,3.0,135,3
1750,Apartment,Installed,Renovated,,No,2.0,210,2
1390,Apartment,Hyper equipped,Good,1060,No,1.0,90,2
2550,Apartment,Hyper equipped,Good,1180,Yes,2.0,135,2
1885,Apartment,Installed,Good,1000,Yes,2.0,117,2
1730,Apartment,Hyper equipped,Good,1060,Yes,1.0,107,2
2050,Other,Hyper equipped,Good,1050,Yes,2.0,90,2
2000,Apartment,Installed,Good,1050,Yes,3.0,166,3
1200,Apartment,Hyper equipped,Renovated,1020,Yes,1.0,80,2
775,Apartment,Not installed,Good,1050,No,1.0,128,1
1050,Other,Semi equipped,Good,1040,No,1.0,42,1
1200,Other,Not installed,Good,1050,No,1.0,128,2
1520,Apartment,Installed,Renovated,1040,Yes,1.0,116,2
1500,Other,Hyper equipped,Good,1180,Yes,2.0,115,2
2490,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,139,3
1900,Other,Hyper equipped,Renovated,1050,Yes,3.0,148,2
1700,Other,Hyper equipped,Good,1050,No,2.0,156,3
1480,Other,Installed,Renovated,1180,Yes,1.0,155,2
1400,Apartment,Hyper equipped,Good,1180,Yes,1.0,80,2
1800,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,124,3
1550,Other,Not installed,Good,1180,Yes,2.0,135,3
1855,Apartment,Hyper equipped,Renovated,1190,Yes,2.0,126,3
1070,Apartment,Not installed,Good,1180,Yes,1.0,75,1
2100,Other,Not installed,Good,1040,Yes,1.0,160,4
1500,Apartment,Not installed,Good,1040,Yes,2.0,135,3
1215,Apartment,Hyper equipped,Good,,Yes,1.0,80,2
900,Other,Installed,Renovated,1090,Yes,1.0,70,1
2400,Other,Hyper equipped,Renovated,1180,Yes,3.0,160,4
2600,Other,Hyper equipped,Renovated,1050,Yes,3.0,167,3
2650,Other,Hyper equipped,Renovated,1050,Yes,3.0,145,3
1535,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,95,2
10025,Apartment,Installed,Good,,Yes,1.0,128,1
870,Apartment,Semi equipped,Good,1030,Yes,1.0,65,1
1050,Apartment,Installed,Good,1050,Yes,1.0,99,2
1185,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,74,1
1200,Apartment,Hyper equipped,Good,1150,Yes,1.0,90,2
1965,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,111,3
1075,Apartment,Installed,Renovated,1060,Yes,1.0,70,1
1775,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,102,2
1421,Apartment,Hyper equipped,Good,,Yes,1.0,76,2
1630,Apartment,Hyper equipped,Good,1000,Yes,1.0,95,2
1630,Apartment,Hyper equipped,Good,1000,Yes,1.0,95,2
775,Other,Not installed,Good,1190,Yes,0.0,128,1
1010,Apartment,Not installed,Good,1040,Yes,1.0,70,1
770,Other,Installed,Renovated,1000,Yes,1.0,37,1
2690,Other,Hyper equipped,Renovated,1020,Yes,1.0,162,4
1550,Apartment,Semi equipped,Good,1040,Yes,2.0,133,3
1100,Apartment,Not installed,Good,1050,Yes,1.0,65,1
1450,Apartment,Installed,Good,1150,Yes,1.0,93,2
870,Apartment,Installed,Good,1140,Yes,1.0,52,1
2950,Other,Hyper equipped,Renovated,,Yes,3.0,240,4
1500,Apartment,Not installed,Good,1060,No,2.0,169,3
1500,Apartment,Not installed,Good,1050,No,2.0,169,3
1540,Other,Installed,Good,1050,No,1.0,115,2
1220,Apartment,Installed,Good,1180,No,1.0,100,2
2690,Apartment,Hyper equipped,Renovated,1020,Yes,2.0,161,3
1500,Apartment,Installed,Good,1070,Yes,2.0,90,2
1100,Apartment,Installed,Good,1150,Yes,1.0,77,2
1200,Other,Hyper equipped,Renovated,1000,Yes,2.0,84,1
1260,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,70,2
1350,Apartment,Installed,Renovated,1050,Yes,0.0,100,1
900,Apartment,Installed,Good,1080,Yes,1.0,50,1
2500,Other,Hyper equipped,Renovated,,No,2.0,180,1
1195,Apartment,Hyper equipped,Good,1050,Yes,1.0,70,1
2100,Other,Hyper equipped,Renovated,1150,Yes,3.0,134,3
900,Other,Installed,Renovated,1180,Yes,1.0,58,1
1400,Apartment,Installed,Good,1050,Yes,1.0,50,1
2690,Apartment,Not installed,Good,1040,Yes,1.0,161,4
1965,Apartment,Hyper equipped,Good,1040,Yes,1.0,111,3
2300,Other,Not installed,Renovated,1180,Yes,3.0,290,3
1200,Apartment,Installed,Good,1210,Yes,1.0,84,2
1500,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,100,2
900,Apartment,Installed,Renovated,1040,Yes,1.0,70,1
1735,Apartment,Hyper equipped,Good,1050,Yes,1.0,102,2
1200,Other,Not installed,Good,1040,Yes,1.0,50,1
2700,Apartment,Hyper equipped,Renovated,,Yes,2.0,147,3
1025,Other,Not installed,Good,1000,Yes,1.0,55,1
2100,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,60,1
1400,Apartment,Semi equipped,Renovated,1200,Yes,1.0,111,2
1450,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,96,2
825,Apartment,Installed,Renovated,1040,Yes,1.0,50,1
1690,Other,Not installed,Good,1020,Yes,1.0,119,2
1580,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,100,2
1900,Other,Semi equipped,Good,,No,1.0,110,2
850,Apartment,Installed,Renovated,,Yes,1.0,128,2
1065,Apartment,Not installed,Good,1080,No,0.0,65,1
1475,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,109,1
900,Apartment,Not installed,Renovated,1070,No,1.0,60,1
1450,Apartment,Hyper equipped,Good,1000,Yes,1.0,100,2
1035,Apartment,Hyper equipped,Good,1082,Yes,1.0,75,1
1395,Other,Not installed,Good,1000,No,0.0,128,1
935,Apartment,Not installed,Good,1000,No,1.0,128,1
895,Apartment,Installed,Renovated,,No,1.0,120,2
1665,Apartment,Hyper equipped,Renovated,1210,Yes,2.0,124,3
1430,Apartment,Installed,Renovated,1120,Yes,2.0,130,3
780,Apartment,Semi equipped,Good,,Yes,1.0,128,2
3400,Apartment,Not installed,Good,,Yes,5.0,300,4
1700,Other,Installed,Good,1050,Yes,2.0,120,2
990,Apartment,Installed,Renovated,1050,Yes,1.0,60,1
1530,Other,Installed,Good,1060,Yes,1.0,85,2
985,Apartment,Installed,Renovated,1200,Yes,1.0,40,1
1800,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,94,2
1150,Apartment,Hyper equipped,Good,1030,No,1.0,89,2
760,Apartment,Not installed,Renovated,1180,Yes,1.0,128,1
1250,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,73,1
1580,Apartment,Installed,Renovated,1050,Yes,2.0,100,2
850,Other,Installed,Renovated,1020,Yes,1.0,70,1
1200,Apartment,Installed,Renovated,1050,Yes,1.0,114,1
1450,Other,Not installed,Good,,Yes,2.0,128,2
1390,Other,Installed,Good,1050,No,2.0,128,2
2750,Other,Not installed,Renovated,1050,Yes,1.0,240,5
2750,Other,Not installed,Renovated,1050,Yes,1.0,240,5
3350,Other,Not installed,Renovated,1050,Yes,3.0,180,3
5400,Other,Not installed,Renovated,1050,Yes,4.0,244,3
1650,Apartment,Not installed,Renovated,1050,Yes,1.0,91,2
1200,Other,Semi equipped,Renovated,,Yes,1.0,115,2
800,Apartment,Not installed,Good,,No,1.0,50,1
520,Apartment,Installed,Good,1210,Yes,2.0,128,1
1090,Apartment,Hyper equipped,Renovated,1140,Yes,1.0,114,1
580,Apartment,Installed,Good,1190,Yes,2.0,128,1
1400,Apartment,Hyper equipped,Good,1060,No,2.0,105,3
1540,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,108,2
1900,Other,Hyper equipped,Renovated,1150,Yes,2.0,150,3
845,Other,Installed,Renovated,1200,Yes,1.0,41,1
2075,Other,Hyper equipped,Good,1150,Yes,2.0,125,3
935,Apartment,Installed,Renovated,1030,No,1.0,128,2
450,Other,Not installed,Good,1030,No,1.0,128,1
1680,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,110,2
1040,Other,Semi equipped,Renovated,1030,Yes,1.0,85,2
800,Other,Installed,Renovated,1000,Yes,1.0,37,1
860,Apartment,Not installed,Good,1040,Yes,1.0,60,1
750,Apartment,Not installed,Good,1090,Yes,1.0,98,1
1150,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,98,2
1770,Other,Hyper equipped,Renovated,1180,Yes,2.0,135,3
1530,Apartment,Not installed,Renovated,1050,Yes,1.0,76,2
770,Apartment,Not installed,Good,1040,No,1.0,128,1
800,Apartment,Not installed,Renovated,,No,1.0,44,1
850,Other,Not installed,Good,1030,Yes,1.0,55,1
850,Apartment,Hyper equipped,Good,1020,Yes,1.0,83,1
3350,Other,Hyper equipped,Renovated,1180,Yes,3.0,210,3
1195,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,128,2
700,Other,Not installed,Good,1070,Yes,1.0,128,1
1180,Apartment,Installed,Renovated,1050,Yes,1.0,61,1
2005,Apartment,Hyper equipped,Renovated,1060,Yes,2.0,130,2
3950,Other,Hyper equipped,Good,1050,Yes,2.0,155,2
1100,Apartment,Hyper equipped,Good,1050,Yes,1.0,80,1
1600,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,93,2
1600,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,93,2
1400,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,45,1
1575,Apartment,Hyper equipped,Renovated,1150,Yes,2.0,120,2
2400,Other,Hyper equipped,Renovated,,Yes,5.0,180,4
1620,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,110,3
1900,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,140,3
2100,Apartment,Hyper equipped,Renovated,,Yes,2.0,145,3
1650,Other,Hyper equipped,Renovated,1160,Yes,3.0,180,2
1675,Apartment,Hyper equipped,Renovated,,Yes,2.0,90,2
830,Apartment,Not installed,Good,1070,Yes,1.0,38,1
1100,Apartment,Semi equipped,Good,1083,Yes,1.0,88,3
950,Apartment,Installed,Renovated,1160,Yes,1.0,72,1
2150,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,179,3
1500,Apartment,Installed,Renovated,1180,Yes,1.0,91,2
1700,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,80,2
1975,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,100,2
1250,Apartment,Hyper equipped,Good,1040,Yes,1.0,92,2
1480,Apartment,Hyper equipped,Good,1000,Yes,1.0,85,2
1280,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,107,2
1380,Apartment,Hyper equipped,Good,1200,Yes,1.0,100,3
1800,Other,Hyper equipped,Renovated,1000,Yes,2.0,125,2
1800,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,125,2
1750,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,128,3
2350,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,130,2
2250,Apartment,Not installed,Renovated,,Yes,2.0,210,2
1150,Apartment,Not installed,Good,1160,Yes,1.0,85,1
800,Apartment,Installed,Renovated,1000,Yes,1.0,60,2
1850,Apartment,Installed,Renovated,1050,Yes,2.0,145,2
1995,Other,Installed,Good,1000,Yes,2.0,195,3
1640,Apartment,Installed,Good,,Yes,2.0,90,2
1395,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,85,2
1395,Other,Hyper equipped,Renovated,1040,Yes,1.0,85,2
1400,Other,Hyper equipped,Renovated,1000,Yes,1.0,90,2
630,Other,Semi equipped,Good,1190,Yes,1.0,35,1
1370,Apartment,Installed,Good,1180,No,3.0,85,2
1550,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,80,2
1340,Apartment,Hyper equipped,Renovated,1030,Yes,2.0,95,2
1520,Apartment,Hyper equipped,Renovated,1030,Yes,2.0,100,2
1400,Other,Hyper equipped,Renovated,1030,Yes,2.0,97,2
1075,Apartment,Hyper equipped,Renovated,1030,Yes,1.0,87,1
1900,Apartment,Installed,Renovated,1040,Yes,2.0,160,3
735,Apartment,Installed,Renovated,1050,Yes,1.0,40,1
1100,Apartment,Semi equipped,Good,1090,Yes,1.0,75,2
825,Apartment,Installed,Good,1000,No,1.0,70,1
1470,Apartment,Hyper equipped,Good,1180,No,2.0,103,2
2380,Apartment,Hyper equipped,Renovated,1060,Yes,2.0,175,3
3620,Apartment,Not installed,Renovated,1050,Yes,2.0,197,3
900,Apartment,Hyper equipped,Good,1020,Yes,1.0,80,1
900,Other,Installed,Good,1030,Yes,1.0,65,1
1325,Apartment,Hyper equipped,Good,1180,Yes,1.0,75,2
1210,Apartment,Installed,Good,1050,Yes,1.0,72,2
2250,Apartment,Hyper equipped,Good,1050,Yes,1.0,160,3
1050,Other,Hyper equipped,Good,1000,Yes,1.0,128,1
1535,Other,Installed,Good,1030,No,2.0,81,3
750,Apartment,Not installed,Good,1030,Yes,1.0,50,1
1825,Apartment,Hyper equipped,Renovated,1160,Yes,3.0,110,3
2150,Apartment,Hyper equipped,Renovated,1180,Yes,2.0,120,3
975,Other,Not installed,Renovated,1000,Yes,1.0,40,1
1060,Apartment,Not installed,Good,1050,No,1.0,85,1
1600,Apartment,Hyper equipped,Renovated,1060,No,1.0,128,2
1075,Apartment,Hyper equipped,Renovated,1140,Yes,12.0,70,1
1700,Apartment,Installed,Good,1050,No,1.0,130,2
1075,Apartment,Installed,Renovated,1050,Yes,1.0,65,1
