target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
1150,Hyper equipped,Good,1000,No,Yes,Unknown,1,65,20,1,Brussels City
1195,Installed,Good,1180,No,No,No,1,100,10,2,Uccle
660,Installed,Good,1140,No,No,No,1,45,10,1,Evere
1100,Installed,Good,1000,No,Yes,Yes,1,70,15,1,Brussels City
2100,Not installed,Good,1000,No,Yes,Unknown,1,129,19,2,Brussels City
3200,Hyper equipped,Renovated,1000,No,Yes,Yes,2,166,10,3,Brussels City
3200,Hyper equipped,Renovated,1000,No,Yes,Yes,2,166,10,3,Brussels City
650,Not installed,Good,1083,No,No,Unknown,0,128,10,1,Ganshoren
880,Installed,Good,1070,No,Yes,No,1,68,15,1,Anderlecht
1430,Installed,Good,1050,No,No,No,1,70,15,2,Ixelles
2630,Hyper equipped,Good,1180,No,Yes,Unknown,2,145,10,2,Uccle
975,Hyper equipped,Renovated,1200,No,Yes,Unknown,1,75,13,2,Woluwe-Saint-Lambert
970,Semi equipped,Renovated,1000,No,Yes,Unknown,2,80,20,2,Brussels City
1540,Hyper equipped,Renovated,1200,No,Yes,No,1,115,10,2,Woluwe-Saint-Lambert
935,Hyper equipped,Good,1140,No,Yes,No,1,71,10,1,Evere
1740,Not installed,Renovated,1040,No,Yes,Yes,1,130,15,2,Etterbeek
570,Not installed,Good,1210,No,Yes,Unknown,1,65,10,2,Saint-Josse-ten-Noode
1345,Installed,Renovated,1050,No,Yes,No,1,100,17,2,Ixelles
1380,Installed,Good,1040,No,Yes,Yes,2,64,10,1,Etterbeek
835,Hyper equipped,Renovated,1190,No,Yes,Yes,1,80,10,2,Forest
930,Installed,Good,1050,No,Yes,Unknown,1,128,10,1,Ixelles
925,Not installed,Good,1180,No,Yes,No,1,60,10,1,Uccle
1540,Hyper equipped,Renovated,1050,No,Yes,Unknown,2,90,10,2,Ixelles
992,Not installed,Renovated,1070,No,No,Unknown,1,70,10,1,Anderlecht
2225,Not installed,Renovated,1050,No,Yes,No,2,150,25,2,Ixelles
870,Installed,Renovated,1070,No,Yes,Unknown,1,80,10,1,Anderlecht
1250,Installed,Good,1060,No,Yes,No,1,89,14,2,Saint-Gilles
850,Not installed,Good,1090,No,No,Unknown,1,128,10,1,Jette
830,Hyper equipped,Renovated,1200,No,Yes,Unknown,1,59,13,1,Woluwe-Saint-Lambert
2250,Hyper equipped,Renovated,1050,No,Yes,Yes,2,76,14,3,Ixelles
1735,Hyper equipped,Good,1050,No,Yes,Unknown,1,100,10,2,Ixelles
2425,Installed,Good,1180,No,Yes,No,2,110,10,2,Uccle
1035,Installed,Renovated,1050,No,Yes,No,1,60,12,2,Ixelles
1675,Not installed,Good,1050,No,Yes,No,1,155,10,2,Ixelles
1490,Installed,Renovated,1050,No,Yes,No,2,120,10,2,Ixelles
2510,Hyper equipped,Renovated,1000,No,Yes,No,2,140,19,2,Brussels City
1550,Semi equipped,Renovated,1070,No,Yes,No,2,127,15,3,Anderlecht
1280,Hyper equipped,Renovated,1060,No,Yes,No,1,95,13,2,Saint-Gilles
1385,Installed,Good,1000,No,Yes,No,1,95,16,2,Brussels City
1251,Hyper equipped,Renovated,1150,No,Yes,No,1,100,12,2,Woluwe-St-Pierre
1251,Hyper equipped,Renovated,1150,No,Yes,No,1,100,12,2,Woluwe-St-Pierre
865,Installed,Good,1000,No,Yes,No,1,40,12,1,Brussels City
2175,Installed,Good,1150,No,Yes,No,2,162,14,4,Woluwe-St-Pierre
690,Installed,Good,1050,No,No,Unknown,1,60,10,1,Ixelles
860,Installed,Renovated,1060,No,Yes,Unknown,1,65,10,1,Saint-Gilles
870,Not installed,Good,1030,No,Yes,No,1,115,10,1,Schaerbeek
1760,Hyper equipped,Renovated,1050,No,Yes,No,1,124,20,2,Ixelles
1625,Semi equipped,Renovated,1180,No,Yes,No,1,97,15,2,Uccle
950,Hyper equipped,Good,1000,No,Yes,Unknown,1,55,10,1,Brussels City
760,Installed,Renovated,1160,No,Yes,Unknown,1,60,14,1,Auderghem
925,Hyper equipped,Renovated,1070,No,Yes,No,1,58,14,1,Anderlecht
650,Installed,Good,1090,No,Yes,Unknown,1,38,10,1,Jette
985,Not installed,No renovated,1080,No,Yes,Unknown,1,83,16,1,Molenbeek-Saint-Jean
1750,Hyper equipped,Good,1050,No,Yes,Unknown,1,85,11,2,Ixelles
800,Installed,Good,1180,No,Yes,Unknown,1,63,16,1,Uccle
1820,Hyper equipped,Renovated,1150,No,Yes,No,2,130,20,3,Woluwe-St-Pierre
1150,Hyper equipped,Good,1081,No,Yes,Yes,1,55,19,1,Koekelberg
935,Not installed,Good,1190,No,Yes,Unknown,1,128,10,2,Forest
1650,Hyper equipped,Renovated,1210,No,Yes,No,2,110,15,3,Saint-Josse-ten-Noode
790,Semi equipped,Good,1050,No,Yes,Yes,1,50,10,1,Ixelles
1340,Hyper equipped,Renovated,1050,No,Yes,No,1,120,10,1,Ixelles
930,Installed,Good,1040,No,No,Unknown,1,128,10,1,Etterbeek
1180,Hyper equipped,Renovated,1180,No,Yes,Unknown,1,90,14,1,Uccle
1180,Not installed,Good,1050,No,No,No,1,101,10,2,Ixelles
1390,Not installed,Renovated,1050,No,No,Unknown,2,90,10,2,Ixelles
1650,Hyper equipped,Renovated,1050,No,Yes,No,2,128,12,3,Ixelles
1900,Installed,Renovated,1150,No,Yes,Unknown,2,136,15,2,Woluwe-St-Pierre
2425,Hyper equipped,Renovated,1050,No,Yes,No,2,105,19,2,Ixelles
1510,Hyper equipped,Renovated,1050,No,Yes,No,1,116,15,2,Ixelles
1400,Installed,Good,1030,No,Yes,Yes,2,128,13,2,Schaerbeek
1000,Not installed,Renovated,1060,No,No,Unknown,1,70,20,1,Saint-Gilles
1650,Hyper equipped,Renovated,1050,No,Yes,No,2,110,15,3,Ixelles
2800,Not installed,Good,1180,No,No,Unknown,2,128,10,3,Uccle
1000,Installed,Renovated,1060,No,Yes,Unknown,1,57,9,1,Saint-Gilles
2329,Hyper equipped,Renovated,1150,No,Yes,Unknown,3,180,17,3,Woluwe-St-Pierre
470,Not installed,Good,1180,No,No,Yes,0,128,10,1,Uccle
1100,Hyper equipped,Renovated,1050,No,Yes,Unknown,1,114,15,1,Ixelles
1850,Hyper equipped,Renovated,1050,No,Yes,No,1,145,16,2,Ixelles
1950,Hyper equipped,Renovated,1050,No,Yes,No,3,151,15,2,Ixelles
1025,Not installed,Renovated,1070,No,Yes,Unknown,2,57,14,1,Anderlecht
1380,Installed,Renovated,1030,No,Yes,No,1,120,10,2,Schaerbeek
1050,Semi equipped,Renovated,1120,No,Yes,Unknown,1,100,16,2,Neder-over-Heembeek
1400,Installed,Good,1150,No,Yes,No,2,120,14,3,Woluwe-St-Pierre
2650,Not installed,Renovated,1180,No,Yes,No,2,140,10,3,Uccle
1290,Not installed,Good,1000,No,Yes,No,1,80,10,2,Brussels City
890,Not installed,Renovated,1050,No,Yes,No,1,48,10,1,Ixelles
1260,Installed,Renovated,1030,No,No,Unknown,1,95,10,2,Schaerbeek
1750,Hyper equipped,Renovated,1050,No,Yes,No,2,96,14,2,Ixelles
1550,Not installed,Good,1060,No,No,Unknown,0,130,10,1,Saint-Gilles
790,Installed,Good,1050,No,Yes,Yes,1,35,10,1,Ixelles
1430,Not installed,Renovated,1050,No,Yes,Unknown,1,98,13,2,Ixelles
1050,Semi equipped,Renovated,1200,No,Yes,Unknown,1,80,13,2,Woluwe-Saint-Lambert
770,Installed,Renovated,1140,No,Yes,No,1,37,10,1,Evere
